credit_id,client_id,cycle,objet,montant,duree_mois,dti,date_debut,en_defaut
1,1,CYCLE_1,MICRO_ENTREPRISE,813,12,0.166,2023-10-31,0
2,2,CYCLE_2,MICRO_ENTREPRISE,9447,6,0.535,2025-05-15,0
3,3,CYCLE_1,SANTE,3073,6,0.673,2026-01-30,0
4,4,CYCLE_3,SANTE,2103,6,0.086,2025-06-03,1
5,5,CYCLE_1,EDUCATION,743,9,0.273,2023-12-22,1
6,5,CYCLE_2,SANTE,673,6,0.398,2025-03-08,1
7,6,CYCLE_1,LOGEMENT,5456,24,0.05,2025-11-01,0
8,6,CYCLE_1,MICRO_ENTREPRISE,6857,18,0.165,2024-08-22,0
9,7,CYCLE_2,EDUCATION,10329,9,0.305,2023-04-11,0
10,7,CYCLE_1,SANTE,6307,18,0.191,2024-08-05,0
11,7,CYCLE_2,MICRO_ENTREPRISE,7710,6,0.381,2024-10-20,1
12,7,CYCLE_1,SANTE,4801,9,0.493,2024-12-26,0
13,8,CYCLE_1,LOGEMENT,6359,6,0.06,2023-08-03,0
14,8,CYCLE_1,CONSOMMATION,3284,24,0.612,2025-04-30,0
15,9,CYCLE_2,MICRO_ENTREPRISE,3674,6,0.269,2024-11-10,0
16,10,CYCLE_1,SANTE,4352,6,0.291,2024-01-19,1
17,11,CYCLE_2,CONSOMMATION,11373,6,0.159,2023-11-11,1
18,11,CYCLE_2,MICRO_ENTREPRISE,14822,18,0.28,2023-12-16,0
19,12,CYCLE_1,CONSOMMATION,3160,12,0.136,2025-10-15,0
20,12,CYCLE_2,LOGEMENT,4273,18,0.166,2025-11-10,0
21,12,CYCLE_2,MICRO_ENTREPRISE,2188,9,0.059,2025-03-15,0
22,12,CYCLE_3,SANTE,5262,12,0.379,2025-08-22,0
23,12,CYCLE_2,EDUCATION,5002,12,0.269,2026-02-11,0
24,12,CYCLE_1,CONSOMMATION,3252,24,0.375,2023-06-07,1
25,12,CYCLE_1,EDUCATION,3239,24,0.345,2024-02-11,0
26,12,CYCLE_1,CONSOMMATION,3622,9,0.524,2025-12-10,0
27,13,CYCLE_1,EDUCATION,1809,9,0.169,2025-04-01,0
28,13,CYCLE_4,CONSOMMATION,5653,9,0.058,2025-07-08,0
29,14,CYCLE_2,MICRO_ENTREPRISE,7513,18,0.146,2025-02-04,1
30,14,CYCLE_3,CONSOMMATION,13090,9,0.059,2024-10-17,0
31,14,CYCLE_1,LOGEMENT,10412,24,0.284,2024-07-08,1
32,14,CYCLE_3,MICRO_ENTREPRISE,11367,18,0.351,2025-11-18,1
33,15,CYCLE_4,LOGEMENT,4398,12,0.415,2024-09-19,0
34,16,CYCLE_1,LOGEMENT,1355,24,0.694,2023-12-30,1
35,16,CYCLE_1,SANTE,3099,12,0.571,2023-04-30,0
36,16,CYCLE_2,LOGEMENT,2604,24,0.161,2023-04-21,0
37,16,CYCLE_1,SANTE,3838,12,0.624,2025-01-27,0
38,16,CYCLE_1,EDUCATION,2114,18,0.106,2023-12-13,0
39,17,CYCLE_1,MICRO_ENTREPRISE,3511,12,0.438,2023-03-01,0
40,18,CYCLE_4,SANTE,20015,12,0.05,2025-07-29,0
41,18,CYCLE_2,LOGEMENT,15128,18,0.25,2024-08-29,0
42,19,CYCLE_2,LOGEMENT,3711,18,0.68,2023-03-22,1
43,19,CYCLE_3,CONSOMMATION,7746,18,0.389,2025-12-22,0
44,20,CYCLE_1,MICRO_ENTREPRISE,2337,6,0.546,2024-09-24,1
45,20,CYCLE_1,EDUCATION,1260,24,0.206,2025-11-27,0
46,20,CYCLE_3,MICRO_ENTREPRISE,2961,6,0.17,2024-08-03,0
47,20,CYCLE_2,MICRO_ENTREPRISE,4246,12,0.171,2024-11-30,0
48,20,CYCLE_2,MICRO_ENTREPRISE,3229,24,0.671,2023-03-07,0
49,20,CYCLE_1,MICRO_ENTREPRISE,3457,6,0.675,2024-06-27,1
50,21,CYCLE_3,LOGEMENT,5606,6,0.09,2025-02-12,0
51,21,CYCLE_1,SANTE,2691,6,0.58,2023-07-06,1
52,22,CYCLE_3,LOGEMENT,8264,18,0.053,2023-09-20,0
53,22,CYCLE_2,SANTE,8343,18,0.616,2023-07-23,0
54,22,CYCLE_2,LOGEMENT,5482,12,0.371,2025-09-04,0
55,22,CYCLE_1,EDUCATION,3206,24,0.92,2025-05-12,1
56,23,CYCLE_3,MICRO_ENTREPRISE,7534,6,0.164,2025-07-15,0
57,23,CYCLE_1,EDUCATION,5624,9,0.104,2023-08-23,0
58,23,CYCLE_2,SANTE,9643,24,0.369,2025-09-02,0
59,24,CYCLE_1,MICRO_ENTREPRISE,3145,9,0.196,2023-09-22,1
60,24,CYCLE_3,CONSOMMATION,5442,6,0.299,2025-02-28,0
61,24,CYCLE_3,LOGEMENT,5659,9,0.582,2025-04-01,0
62,24,CYCLE_2,SANTE,6234,6,0.346,2025-07-02,0
63,25,CYCLE_1,MICRO_ENTREPRISE,9767,24,0.262,2025-06-29,0
64,25,CYCLE_1,LOGEMENT,5732,6,0.307,2024-08-06,0
65,25,CYCLE_1,LOGEMENT,10671,9,0.67,2023-08-29,0
66,26,CYCLE_2,MICRO_ENTREPRISE,3454,6,0.188,2025-10-21,0
67,27,CYCLE_1,CONSOMMATION,3397,9,0.554,2023-04-15,0
68,27,CYCLE_1,EDUCATION,6768,18,0.432,2025-11-11,1
69,27,CYCLE_2,CONSOMMATION,5266,6,0.249,2024-06-30,0
70,27,CYCLE_2,CONSOMMATION,2552,6,0.775,2024-03-12,0
71,27,CYCLE_1,MICRO_ENTREPRISE,3237,9,0.647,2024-06-22,0
72,27,CYCLE_1,EDUCATION,4673,6,0.556,2025-06-07,0
73,27,CYCLE_1,EDUCATION,4515,24,0.206,2024-12-16,0
74,28,CYCLE_4,MICRO_ENTREPRISE,12937,24,0.154,2024-05-24,0
75,28,CYCLE_1,EDUCATION,3933,18,0.095,2023-04-25,0
76,29,CYCLE_1,EDUCATION,3924,9,0.111,2023-08-08,0
77,29,CYCLE_2,LOGEMENT,9208,12,0.54,2023-05-20,0
78,29,CYCLE_1,MICRO_ENTREPRISE,6131,12,0.387,2024-06-04,0
79,29,CYCLE_1,EDUCATION,3561,24,0.498,2025-12-22,0
80,30,CYCLE_2,CONSOMMATION,4860,12,0.103,2023-09-24,1
81,31,CYCLE_2,MICRO_ENTREPRISE,3823,9,0.157,2026-02-09,0
82,31,CYCLE_2,LOGEMENT,5608,6,0.134,2024-03-31,0
83,31,CYCLE_1,EDUCATION,2460,12,0.247,2024-10-05,0
84,32,CYCLE_3,MICRO_ENTREPRISE,16045,6,0.556,2023-10-19,1
85,33,CYCLE_2,MICRO_ENTREPRISE,3974,12,0.791,2024-05-05,0
86,33,CYCLE_3,CONSOMMATION,9996,6,0.696,2024-08-05,0
87,33,CYCLE_1,SANTE,10055,9,0.349,2024-11-25,0
88,33,CYCLE_1,SANTE,8058,24,0.386,2023-06-19,0
89,33,CYCLE_2,MICRO_ENTREPRISE,10847,9,0.126,2025-05-28,0
90,33,CYCLE_3,MICRO_ENTREPRISE,9625,6,0.173,2024-09-11,0
91,34,CYCLE_1,EDUCATION,5148,6,0.459,2023-06-20,0
92,34,CYCLE_1,MICRO_ENTREPRISE,4978,18,0.05,2025-04-08,0
93,34,CYCLE_2,LOGEMENT,4718,9,0.154,2024-06-17,1
94,35,CYCLE_2,EDUCATION,4562,6,0.159,2024-06-03,0
95,35,CYCLE_1,MICRO_ENTREPRISE,3593,18,0.163,2024-11-17,0
96,36,CYCLE_1,CONSOMMATION,12586,24,0.05,2023-03-31,0
97,36,CYCLE_1,CONSOMMATION,11539,9,0.721,2023-04-05,1
98,36,CYCLE_1,CONSOMMATION,10765,12,0.314,2024-05-11,0
99,36,CYCLE_1,SANTE,9974,24,0.39,2024-07-17,1
100,37,CYCLE_3,LOGEMENT,5769,18,0.375,2023-12-08,0
101,37,CYCLE_3,EDUCATION,5838,12,0.874,2023-07-18,0
102,37,CYCLE_3,SANTE,6695,6,0.064,2023-09-25,0
103,37,CYCLE_1,SANTE,4008,12,0.151,2025-05-19,0
104,37,CYCLE_1,SANTE,1569,9,0.619,2025-09-17,0
105,38,CYCLE_2,EDUCATION,5397,12,0.433,2025-09-12,1
106,38,CYCLE_1,CONSOMMATION,3651,24,0.353,2023-07-29,1
107,39,CYCLE_3,CONSOMMATION,3041,24,0.403,2024-09-09,0
108,39,CYCLE_1,LOGEMENT,1870,18,0.175,2023-08-19,1
109,39,CYCLE_1,CONSOMMATION,300,12,0.253,2023-07-21,0
110,39,CYCLE_2,LOGEMENT,3842,6,0.134,2024-04-09,0
111,40,CYCLE_1,EDUCATION,5145,12,0.139,2024-07-26,1
112,40,CYCLE_1,SANTE,3816,6,0.316,2024-07-02,0
113,40,CYCLE_2,LOGEMENT,8597,9,0.554,2023-09-04,0
114,40,CYCLE_1,CONSOMMATION,6810,9,0.05,2023-12-04,0
115,41,CYCLE_2,CONSOMMATION,653,6,0.204,2025-08-07,1
116,42,CYCLE_3,SANTE,1098,24,0.315,2024-01-19,1
117,42,CYCLE_2,MICRO_ENTREPRISE,500,18,0.661,2025-08-16,1
118,42,CYCLE_1,LOGEMENT,615,6,0.236,2023-06-26,1
119,42,CYCLE_1,SANTE,590,24,0.745,2024-02-18,1
120,43,CYCLE_1,SANTE,5297,24,0.146,2023-05-11,0
121,43,CYCLE_2,CONSOMMATION,6059,24,0.097,2024-04-28,1
122,43,CYCLE_1,LOGEMENT,7696,9,0.586,2024-06-21,0
123,44,CYCLE_1,SANTE,2592,18,0.27,2025-06-27,0
124,44,CYCLE_3,MICRO_ENTREPRISE,4267,18,0.218,2025-06-13,0
125,44,CYCLE_1,MICRO_ENTREPRISE,3914,24,0.29,2023-06-27,0
126,44,CYCLE_3,CONSOMMATION,5254,18,0.054,2025-06-25,0
127,44,CYCLE_1,EDUCATION,2007,18,0.3,2025-08-08,0
128,44,CYCLE_1,LOGEMENT,1908,12,0.201,2026-01-31,0
129,45,CYCLE_1,CONSOMMATION,2263,6,0.214,2025-06-21,1
130,45,CYCLE_1,CONSOMMATION,1615,18,0.287,2024-05-30,0
131,46,CYCLE_3,LOGEMENT,6166,12,0.799,2025-07-01,1
132,47,CYCLE_1,CONSOMMATION,6746,24,0.435,2025-12-12,0
133,47,CYCLE_3,LOGEMENT,10111,12,0.172,2024-05-31,0
134,47,CYCLE_1,SANTE,6368,6,0.474,2023-07-30,1
135,47,CYCLE_3,LOGEMENT,9135,24,0.806,2024-11-12,1
136,47,CYCLE_2,LOGEMENT,8468,12,0.375,2023-04-28,0
137,48,CYCLE_3,LOGEMENT,12447,18,0.301,2024-06-22,0
138,48,CYCLE_2,CONSOMMATION,9287,9,0.259,2024-12-07,0
139,48,CYCLE_1,EDUCATION,7068,6,0.768,2023-07-18,0
140,49,CYCLE_1,CONSOMMATION,9178,12,0.17,2025-12-12,0
141,49,CYCLE_1,MICRO_ENTREPRISE,8870,6,0.318,2024-07-25,0
142,49,CYCLE_1,EDUCATION,9548,6,0.281,2024-04-16,0
143,50,CYCLE_2,MICRO_ENTREPRISE,2212,9,0.143,2023-05-15,0
144,50,CYCLE_3,LOGEMENT,3977,9,0.118,2023-09-24,0
