relation_id,source_client_id,target_client_id,type_relation,risk_relation
1,3299,859,FAMILLE,24
2,1502,3971,GARANT,73
3,1259,1983,GARANT,96
4,3281,2091,GARANT,89
5,3741,4586,FAMILLE,52
6,887,3264,FAMILLE,53
7,3166,747,GARANT,56
8,4596,1339,GARANT,92
9,3014,323,GARANT,53
10,1718,1435,GARANT,91
11,2457,1072,GARANT,17
12,4303,1455,FAMILLE,66
13,2229,3449,FAMILLE,61
14,682,3286,FAMILLE,25
15,3029,3730,GARANT,95
16,3386,2390,BUSINESS,40
17,4473,2192,GARANT,73
18,1643,3711,BUSINESS,6
19,1250,4352,BUSINESS,25
20,3734,1140,GARANT,84
21,3781,3334,FAMILLE,76
22,2205,2114,FAMILLE,80
23,3596,3234,FAMILLE,60
24,3214,2823,FAMILLE,78
25,4640,3954,BUSINESS,50
26,2452,357,FAMILLE,18
27,316,2991,FAMILLE,48
28,386,335,FAMILLE,77
29,1418,3283,BUSINESS,38
30,932,1016,BUSINESS,72
31,329,4021,BUSINESS,31
32,4487,3780,GARANT,28
33,4490,4254,GARANT,93
34,3576,2680,FAMILLE,50
35,2063,3131,FAMILLE,73
36,586,2721,GARANT,79
37,4249,2014,BUSINESS,29
38,4539,1635,FAMILLE,76
39,2018,4757,BUSINESS,61
40,4224,3767,GARANT,28
41,4279,1569,FAMILLE,44
42,1619,4785,FAMILLE,10
43,3466,3743,FAMILLE,58
44,61,2588,GARANT,91
45,2094,2811,FAMILLE,12
46,3288,1318,GARANT,36
47,1692,1198,FAMILLE,5
48,4166,3018,FAMILLE,6
49,4662,3822,GARANT,86
50,3661,3858,BUSINESS,70
51,3749,3205,BUSINESS,76
52,1334,182,FAMILLE,53
53,4839,1068,GARANT,19
54,156,1432,GARANT,25
55,3741,3292,FAMILLE,70
56,2945,331,GARANT,38
57,4775,4245,GARANT,85
58,3653,3889,BUSINESS,24
59,3747,3938,FAMILLE,44
60,593,3606,GARANT,89
61,1826,376,BUSINESS,76
62,303,1104,BUSINESS,40
63,498,1925,GARANT,91
64,2817,2758,FAMILLE,21
65,2330,354,GARANT,65
66,1951,1232,GARANT,33
67,4290,835,FAMILLE,53
68,3904,15,GARANT,18
69,2046,13,BUSINESS,65
70,4634,84,FAMILLE,58
71,2769,2839,GARANT,53
72,696,3342,GARANT,92
73,2058,2806,FAMILLE,42
74,4677,754,GARANT,99
75,3134,1823,GARANT,97
76,1261,3850,GARANT,62
77,1155,3781,FAMILLE,26
78,196,535,FAMILLE,42
79,2746,4040,BUSINESS,56
80,1208,3433,FAMILLE,32
81,1091,568,FAMILLE,9
82,1869,398,BUSINESS,73
83,129,3061,BUSINESS,7
84,4673,1271,GARANT,28
85,3581,3948,GARANT,94
86,4194,1652,GARANT,70
87,4881,4948,BUSINESS,61
88,2961,1696,FAMILLE,52
89,4137,4995,FAMILLE,78
90,701,1281,FAMILLE,77
91,818,3158,BUSINESS,71
92,1419,1357,FAMILLE,19
93,695,3548,GARANT,73
94,262,4374,BUSINESS,66
95,2910,1597,GARANT,79
96,1447,4712,GARANT,49
97,2789,2833,BUSINESS,16
98,4730,1651,GARANT,79
99,4312,2667,GARANT,99
100,3953,4980,FAMILLE,27
101,4522,3033,BUSINESS,49
102,829,649,BUSINESS,79
103,4823,430,BUSINESS,55
104,3619,1791,GARANT,19
105,4109,3593,FAMILLE,19
106,1525,3415,BUSINESS,47
107,2553,1444,GARANT,38
108,2176,4244,FAMILLE,57
109,3479,382,FAMILLE,53
110,4567,4088,BUSINESS,54
111,4916,2310,BUSINESS,37
112,1376,1270,FAMILLE,65
113,683,2546,FAMILLE,67
114,1745,2622,FAMILLE,34
115,3259,2646,FAMILLE,64
116,2152,3066,FAMILLE,53
117,4080,4987,BUSINESS,25
118,2788,1122,FAMILLE,59
119,3111,1352,GARANT,57
120,3025,1728,BUSINESS,17
121,3283,922,FAMILLE,10
122,3134,1084,BUSINESS,64
123,1496,378,GARANT,70
124,3736,1644,GARANT,72
125,3663,675,GARANT,84
126,2694,1802,GARANT,15
127,2964,1412,GARANT,17
128,1821,2892,GARANT,97
129,2116,1673,GARANT,20
130,1441,1095,GARANT,73
131,4337,4608,GARANT,99
132,4623,2516,BUSINESS,45
133,2942,1486,GARANT,89
134,1597,2483,BUSINESS,39
135,4969,4297,GARANT,16
136,424,2265,FAMILLE,58
137,3646,4314,GARANT,98
138,4638,641,GARANT,14
139,2852,2953,GARANT,87
140,1637,2620,GARANT,6
141,3350,4813,GARANT,24
142,362,1451,GARANT,91
143,478,1907,FAMILLE,31
144,4678,3198,GARANT,42
145,3261,4122,FAMILLE,75
146,966,4488,GARANT,55
